from,to,weight
A5000492239,A5035750621,1
A5000492239,A5037137651,1
A5000492239,A5037461731,1
A5000492239,A5037522395,1
A5000492239,A5037998541,2
A5000492239,A5039857832,1
A5000492239,A5040028329,1
A5000492239,A5040443326,1
A5000492239,A5041592532,1
A5000492239,A5046496325,1
A5000492239,A5048015037,1
A5000492239,A5048028920,1
A5000492239,A5048174646,1
A5000492239,A5048638576,1
A5000492239,A5048826461,1
A5000492239,A5053295006,1
A5000492239,A5054916699,1
A5000492239,A5055632056,1
A5000492239,A5056604056,1
A5000492239,A5057785941,1
A5000492239,A5060930335,2
A5000492239,A5061982227,1
A5000492239,A5062122821,1
A5000492239,A5062775440,1
A5000492239,A5064278968,1
A5000492239,A5067477954,1
A5000492239,A5068251435,1
A5000492239,A5071649909,1
A5000492239,A5082618108,1
A5000492239,A5085250784,1
A5000492239,A5086117599,1
A5000492239,A5086487790,1
A5000492239,A5090005375,1
A5000492239,A5091122644,1
A5000492239,A5091168022,1
A5000492239,A5101834511,1
A5000492239,A5103233261,1
A5000492239,A5106660367,1
A5000492239,A5108094274,1
A5000492239,A5111747830,1
A5000492239,A5112189241,1
A5000492239,A5112534867,3
A5000504017,A5003041233,13
A5000504017,A5013046280,2
A5000504017,A5013064606,3
A5000504017,A5017922865,4
A5000504017,A5021222381,6
A5000504017,A5021425520,2
A5000504017,A5023696683,1
A5000504017,A5033245982,6
A5000504017,A5033619945,1
A5000504017,A5037970359,1
A5000504017,A5044681495,1
